college,course,category,Round 1,Round 2,Round 3,Stray Vacancy
Deen Dayal Upadhyay Hospital,(NBEMS) GENERAL MEDICINE,EWS,8250.0,,,
Barasat Government Medical College And Hospital,(NBEMS) GENERAL MEDICINE,Open,8258.0,,,
Cmc Hospital,(NBEMS) GENERAL MEDICINE,Open,8272.0,,,
Bhagwan Das Hospital (A Unit Of Bhagwan Das Khem Chand Memorial,(NBEMS) GENERAL MEDICINE,Open,8292.0,,,
Healthway Hospital,(NBEMS) GENERAL MEDICINE,Open,8331.0,,9567.0,
Kauvery Hospital,(NBEMS) GENERAL MEDICINE,Open,8377.0,,,
Pushpanjali Hospital And Research Centre,(NBEMS) GENERAL MEDICINE,Open,8430.0,,,
Infectious Diseases And Beliaghata General Hospital,(NBEMS) GENERAL MEDICINE,Open,8483.0,,,
Park Hospital,(NBEMS) GENERAL MEDICINE,Open,8514.0,,10101.0,
Rana Beni Madhav Singh (Rbms) District Hospital,(NBEMS) GENERAL MEDICINE,Open,8555.0,,,15051.0
Raiganj Government Medical College And Hospital,(NBEMS) GENERAL MEDICINE,Open,8567.0,,,
Khan Bahadur Bhabha Hospital,(NBEMS) GENERAL MEDICINE,EWS,8610.0,,,
Jagjivan Ram Railway Hospital,(NBEMS) GENERAL MEDICINE,Open,8656.0,,,
Swami Kalyan Dev District Hospital,(NBEMS) GENERAL MEDICINE,Open,8694.0,,,
St. Joseph Hospital,(NBEMS) GENERAL MEDICINE,Open,8698.0,,,
Ahalia Diabetes Hospital,(NBEMS) GENERAL MEDICINE,Open,8789.0,,,
Tx Hospitals,(NBEMS) GENERAL MEDICINE,Open,8795.0,,,
Sukhda Multi Specialty Hospital,(NBEMS) GENERAL MEDICINE,Open,8819.0,,,
District Head Quarters Hospital,(NBEMS) GENERAL MEDICINE,EWS,8839.0,,,
Adarsha Hospital,(NBEMS) GENERAL MEDICINE,Open,8874.0,,,
C.S.I. Kalyani General Hospital,(NBEMS) GENERAL MEDICINE,Open,8876.0,,,
Harish Hospital,(NBEMS) GENERAL MEDICINE,Open,8880.0,,,
Narayana Multispeciality Hospital,(NBEMS) GENERAL MEDICINE,Open,8915.0,,,
Cauvery Heart And Multispeciality Hospital,(NBEMS) GENERAL MEDICINE,Open,8933.0,,,
Positron Hospital,(NBEMS) GENERAL MEDICINE,Open,8988.0,,,
Sacred Heart Hospital,(NBEMS) GENERAL MEDICINE,Open,8991.0,,,
